"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"103.100.138.0","ip-103-100-138-0.wproserve.com","Hong Kong","","","HURRICANE","6939","22.2578","114.1657"
"103.100.152.0","","Hong Kong","","","Egixnet Networks Limited","136962","22.2578","114.1657"
"103.100.156.0","","Hong Kong","","","LANDUPS CO., LTD","147001","22.2578","114.1657"
"103.100.208.0","","Hong Kong","","","YISU CLOUD LTD","142403","22.2578","114.1657"
"103.101.188.0","","South Korea","Seoul","Seoul","Korea","133448","37.5794","126.9754"
"103.101.204.0","","South Korea","Seoul","Seoul","Anchnet Asia Limited","137443","37.4331","127.1377"
"103.101.215.0","","Hong Kong","","","Trivago Hong Kong Limited","133142","22.2578","114.1657"
"103.101.248.0","","Hong Kong","","","Dreamscape Networks Limited","38719","22.2578","114.1657"
"103.102.4.0","103-102-4-0.static.betaidc.com","United States","California","Los Angeles","Shanghai Huajuan Information Technology Co., Ltd.","131477","34.0544","-118.2441"
"103.102.32.0","","Hong Kong","Sha Tin","Siu Lek Yuen","The Hang Seng University of Hong Kong","137887","22.3871","114.2163"
"103.103.64.0","","Hong Kong","","","Gigabit Hosting Sdn Bhd","55720","22.2578","114.1657"
"103.103.244.0","","Hong Kong","","","Back Waves Technology Co., Limited","9331","22.2578","114.1657"
"103.104.11.0","","Hong Kong","","","AOFEI DATA INTERNATIONAL COMPANY LIMITED","135391","22.2578","114.1657"
"103.104.178.0","","Hong Kong","","","Hong Kong Airlines Limited","137196","22.2578","114.1657"
"103.104.220.0","","Hong Kong","","","JANE-STREET","14969","22.2578","114.1657"
"103.106.208.0","","Singapore","","Singapore","","","1.3036","103.8554"
"103.107.10.0","","Hong Kong","","","ThinkDream Technology Limited","135026","22.2578","114.1657"
"103.107.12.0","","Hong Kong","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","22.2578","114.1657"
"103.107.104.0","","Hong Kong","","","ADCDATA.COM","135330","22.2578","114.1657"
"103.107.236.0","","Hong Kong","","","YISU CLOUD LTD","136970","22.2578","114.1657"
"103.108.2.0","","Hong Kong","","","CLOUDEST HK LIMITED","132304","22.2578","114.1657"
"103.108.8.0","","Hong Kong","","","CLOUDEST HK LIMITED","132304","22.2578","114.1657"
"103.108.40.0","","Hong Kong","","","19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong","135581","22.2578","114.1657"
"103.108.142.0","","Hong Kong","","","HK Kwaifong Group Limited","133115","22.2578","114.1657"
"103.108.180.0","","Hong Kong","","","NETWORK JOINT HK LIMITED","133762","22.2578","114.1657"
"103.108.216.0","","Hong Kong","","","","","22.2578","114.1657"
"103.108.248.0","","Hong Kong","","","West Kowloon Cultural District Authority","134753","22.2578","114.1657"
"103.108.250.0","","Hong Kong","Kowloon City","Kowloon","West Kowloon Cultural District Authority","134753","22.3163","114.1842"
"103.109.4.0","","Hong Kong","","","Highspeednet Data ServicesHongkongCo.,Limited","137446","22.2578","114.1657"
"103.109.100.0","","Hong Kong","","","Amarutu Technology Ltd","206264","22.2578","114.1657"
"103.109.104.0","","Hong Kong","","","HKT Limited","4515","22.2578","114.1657"
"103.110.60.0","","Hong Kong","","","IPTELECOM ASIA","55799","22.2578","114.1657"
"103.111.124.0","","Hong Kong","","","ITIVITI Hong Kong Limited","137518","22.2578","114.1657"
"103.112.67.0","","Hong Kong","","","Earth Network Technology HongKong Co., Limited","136493","22.2578","114.1657"
"103.112.78.0","","Hong Kong","","","Earth Network Technology HongKong Co., Limited","136493","22.2578","114.1657"
"103.113.20.0","","Hong Kong","","","","","22.2578","114.1657"
"103.113.60.0","","Hong Kong","","","HONGKONG LINK INFINITY TECHNOLOGY LIMITED","135110","22.2578","114.1657"
"103.113.156.0","","Hong Kong","","","IPTELECOM ASIA","55799","22.2578","114.1657"
"103.114.44.0","0.44.114.103.azonne.com","Hong Kong","","","Azonne Limited","59217","22.2578","114.1657"
"103.114.192.0","","Hong Kong","","","Cloud Net Technologies Limited","137816","22.2578","114.1657"
"103.115.144.0","","Hong Kong","","","19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong","135581","22.2578","114.1657"
"103.115.146.0","","Hong Kong","","","19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong","135581","22.2578","114.1657"
"103.116.212.0","","Hong Kong","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","22.2578","114.1657"
"103.116.244.0","","Hong Kong","","","Hong Kong Telecom Global Data Centre","132422","22.2578","114.1657"
"103.117.24.0","","Hong Kong","","","EDISON Global Networks Limited","137913","22.2578","114.1657"
"103.117.116.0","","Hong Kong","","","","","22.2578","114.1657"
"103.117.120.0","","Hong Kong","","","Anchnet Asia Limited","137443","22.2578","114.1657"
"103.117.144.0","","Hong Kong","","","Netsec Limited","45753","22.2578","114.1657"
"103.117.248.0","","Indonesia","","","Guangdong Cloudbase Technology Co., Ltd.","63631","-6.1728","106.8272"
"103.118.40.0","103.118.40.0.static.clayer.net","Hong Kong","","","Cloudfort IT","7586","22.2578","114.1657"
