"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"103.9.116.0","","Taiwan","","","TWIDC","55789","24","121"
"103.10.4.0","","Taiwan","","","ASUSTek COMPUTER INC.","131144","24","121"
"103.10.204.0","","Taiwan","","","141 Yang Guan Jie","45599","24","121"
"103.14.200.0","","N/A","N/A","N/A","AS138611","138611","0","0"
"103.16.240.0","","Taiwan","","","","","24","121"
"103.16.244.0","","Taiwan","","","","","24","121"
"103.17.8.0","103-17-8-0.static.ip.net.tw","Taiwan","","","Yuan-Jhen Info., Co., Ltd","131149","24","121"
"103.17.240.0","","Hong Kong","","","HGC Global Communications Limited","9304","22.2578","114.1657"
"103.18.128.0","103-18-128-0.ip.mwsrv.com","Taiwan","","","DigiCentre Company Limited","7532","24","121"
"103.20.40.0","","Taiwan","","","PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD","38843","24","121"
"103.20.176.0","","Taiwan","","","","","24","121"
"103.21.60.0","","Taiwan","","","Bank Of Taiwan","131148","24","121"
"103.21.196.0","","Taiwan","","","LETSWIN TELECOM CO., LTD.","131632","24","121"
"103.22.156.0","","Taiwan","","","Kingspeed International Freight Express","45504","24","121"
"103.22.212.0","","Taiwan","","","","","24","121"
"103.23.108.0","ip-103-23-108-0.static.pixnet.tw","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"103.24.100.0","","Taiwan","","","","","24","121"
"103.25.232.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"103.25.236.0","","Taiwan","","","","","24","121"
"103.28.200.0","","Taiwan","","","BTN-ASN","3491","24","121"
